83679750	ん
79819780	い
77832093	う
40342561	の
39778339	か
37527443	と
36727889	た
36225871	し
34111892	く
33378972	に
29817192	、
29311400	る
27918367	は
27044018	が
25069162	こ
24477661	て
22524991	つ
21238911	っ
21089775	。
20172353	き
19687875	さ
19478654	な
18878685	ー
18568354	あ
17994149	で
17878615	せ
17814594	す
17426980	れ
17305250	り
16678479	ら
16087525	を
14856967	お
12886454	ま
12485935	け
12184875	ど
12031161	も
11913811	じ
11628417	だ
11518814	ね
11476829	ち
10493685	よ
9863297	え
9372874	しょ
9291217	そ
9237828	め
7690383	しゅ
7430109	み
7251958	ば
7216194	わ
7205552	ぶ
7150099	ろ
6971987	ほ
6657392	や
6180417	ふ
5432480	ご
5333022	ひ
5264779	きょ
5223590	じょ
5061718	む
5025729	げ
4897495	ぐ
4324567	しゃ
3485165	ず
3416824	へ
3383867	ざ
3358685	ちょ
3305896	び
3106777	じゅ
3071688	ぎ
3043713	ゆ
2881507	ぽ
2801875	りょ
2630499	ぞ
2613300	べ
2600633	ぷ
2583931	ぼ
2393569	ぜ
2349477	ちゅ
2190761	きゅ
2155454	ぱ
1668681	ぎょ
1262348	ひょ
1058567	にゅ
838381	ぺ
826119	てぃ
805384	ぴ
796045	でぃ
785206	りゅ
782752	ちゃ
775920	じゃ
753565	づ
633466	きゃ
518108	ぬ
498498	ふぁ
428532	ふぃ
372004	ふぉ
304339	じぇ
302584	うぇ
279330	びょ
273945	ふぇ
271652	ゔぃ
266986	ゔぁ
260627	ぴょ
226751	うぃ
207735	びゅ
199730	ちぇ
197074	みゅ
171596	りゃ
152980	みょ
145523	ぎゃ
143988	ゔぇ
115563	とぅ
110451	ゔ
107293	でゅ
106889	しぇ
104287	うぉ
90279	ぎゅ
75092	ひゃ
72950	ゔぉ
68221	どぅ
65647	ぴゅ
55626	みゃ
49320	にょ
46002	つぃ
43581	にゃ
36921	つぁ
36161	つぇ
34018	ひゅ
20441	ぢ
19842	いぇ
17076	てゅ
17016	ゖ
14625	つぉ
13060	ふゅ
9189	ゔゅ
7219	くぃ
7001	びゃ
6885	くぉ
6094	ずぃ
5645	すぃ
5252	ひぇ
5129	にぇ
4450	りぃ
3462	るぃ
3439	うぁ
3239	びぃ
2977	りぇ
2908	ぴゃ
2724	ゐ
2558	ゔゃ
2333	ゑ
2262	くぁ
1984	くぇ
1747	みぇ
1717	しぃ
1685	ふょ
1448	ぐぁ
1399	ぬぃ
1214	まぁ
1164	ねぇ
1161	きぃ
1112	むぃ
1051	じぃ
1044	なぁ
