36052011	の
29817945	、
24832645	に
21089776	。
20232878	た
19569440	る
18826089	は
18744353	ー
17016045	と
16079403	を
15939946	し
15128272	で
14944392	て
13908028	い
13843327	が
11560849	れ
10550342	な
7444378	っ
7017623	ら
6980530	か
6662025	さ
6599215	あ
6048328	り
5882501	も
5676808	こ
5458679	す
4150483	う
3930941	ま
3908087	よ
3109346	く
3094816	め
2716300	き
2660463	そ
2568250	け
2347721	お
2249002	や
2160987	つ
2063487	ど
1916876	わ
1882818	え
1634916	だ
1588175	ん
1259962	ち
1136856	み
1084793	せ
1059091	ば
944652	へ
907820	じ
845473	び
759120	ず
580988	ほ
574012	げ
454282	ろ
451940	べ
409055	む
335661	ぶ
237885	ご
223579	ひ
212231	ぐ
211506	ね
186750	ぎ
180915	ゆ
177506	づ
169555	ぞ
152883	ぼ
127189	ふ
116690	ざ
80094	しょ
56758	ぜ
54160	ちゃ
48887	ぬ
44859	きょ
44747	ちょ
40360	じょ
34974	しゅ
33987	しゃ
29065	じゅ
27103	ぱ
26168	じゃ
25266	ちゅ
23930	ぽ
20308	ぷ
16802	きゅ
15946	りょ
12403	ぎょ
12226	りゅ
9354	ぴ
7620	ひょ
5518	ぺ
3550	びょ
3167	きゃ
3001	ひゃ
2692	みょ
2441	にゃ
1990	ゐ
1918	にゅ
1885	ぢ
1478	りゃ
1240	てぃ
1204	にょ
1112	ゑ
1045	ぎゃ
981	まぁ
952	みゅ
946	ねぇ
915	なぁ
849	ぴょ
808	ぎゅ
705	でぃ
699	りぃ
656	ふぁ
633	みゃ
475	びゃ
452	ひゅ
436	じぇ
403	だぁ
365	びゅ
347	ちぇ
340	ふぃ
323	ふぉ
294	ふぇ
282	ぢゃ
264	ちぃ
247	さぁ
230	ぴゃ
228	うぇ
213	どぅ
212	ぴゅ
209	ぴぃ
205	あぁ
190	うぃ
188	みぃ
176	しぇ
175	きぃ
174	とぅ
163	つぁ
158	せぇ
154	へぇ
150	べぇ
138	らぁ
137	はぁ
128	たぁ
123	ばぁ
109	めぇ
107	にぃ
102	しぃ
88	うぉ
87	ぢゅ
83	かぁ
82	るぅ
81	すぅ
78	やぁ
77	びぃ
73	てぇ
71	ふゅ
71	すょ
70	ゆぅ
68	えぇ
64	ぱぁ
64	けぇ
62	ぐゎ
61	わぁ
60	ほぉ
59	でぇ
58	ぢょ
54	がぁ
51	つぅ
51	くぅ
48	ぷぅ
46	れぇ
45	どぉ
44	ひぃ
42	よぉ
42	すぃ
42	じぃ
42	げぇ
41	ぶぅ
40	ろぉ
40	くゎ
38	ふぅ
38	おぉ
37	ぐぅ
37	いぇ
34	とぉ
34	ずぅ
33	ぞぉ
32	でゅ
27	もぉ
25	こぉ
23	のぉ
19	ざぁ
18	ぷぁ
17	じゃぁ
17	げぁ
16	れぃ
15	ねぁ
15	ゔぁ
14	ぺぇ
14	とゅ
14	ゔ
13	だょ
13	ぎぃ
12	むぅ
12	にぇ
12	えぃ
11	でぁ
11	つぇ
11	ずぃ
11	あぃ
10	ゑぇ
